"Date","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
2020-12-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-27,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-31,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
